nombre,sup_tot(m2),frente(m),fondo(m),lat,lon
Villa 31,206944.00,300.00,689.1,-34.583150, -58.379154
Villa 1-11-14,15358.00,119.28,128.76,-34.649663,-58.440863
Villa 3,23936.00,154.89,154.54,-34.659364,-58.453406
Villa 13,225.00,8.66,25.98,-34.643361,-58.444482
Villa 16,1011.00,26.00,38.88,-34.689311,-58.467016
Villa 17,10610.00,110.06,96.40,-34.676781,-58.495539
Villa 15,,,,-34.669466,-58.491299
Villa 20,,,,-34.673819,-58.464347
Villa 21-24,,,,-34.653774,-58.398324
Villa 26,,,,-34.657345, -58.380833
villa piletones,,,,-34.663450,-58.459489
Villa 19,,,,-34.683676,-58.486395
Villa 6,,,,-34.658736,-58.473281
rodrigo bueno,,,,-34.607162,-58.351630
saldias,407467.00,170.19,2394.19,-34.577056,-58.393916
bartolome mitre,37858.00,139.50,271.38,-34.608371,-58.413291
el triangulo,2705.00,52.88,51.15,-34.633964,-58.353865
lamadrid,1586.00,60.11,26.38,-34.635856,-58.354354
magaldi,8250.00,29.18,282.72,-34.661257,-58.393048
el pueblito,3610.00,52.11,69.28,-34.658700, -58.415730
los pinos,14543.00,66.58,218.42,-34.657094,-58.451178
portela,621.00,303.05,2.05,-34.657128,-58.449348
paredon lacrozre,,,,-34.586074,-58.455259
fraga,,,,-34.584895,-58.457465
bosh,6024.00,60.00,111.97,-34.656630,-58.377234
charlone,373.00,8.52,43.78,-34.580348,-58.465227
del trabajo,24008.00,143.69,167.08,-34.669976,-58.494453
